question;answer
Здравствуйте!;Здравствуйте! Спасибо, что обратились в TechLab Digital Solutions! Скажите, сколько лет вашему ребенку? Мы подберем подходящую программу обучения.
Моему ребенку 5-9 лет.;Отлично! У нас есть курсы робототехники, разработанные специально для детей 5-9 лет. Они включают обучение сборке роботов, программированию и командной работе. Хотите узнать больше о расписании и стоимости?
Моему ребенку 9-17 лет.;Замечательно! У нас есть курсы LEGO Mindstorms EV3 для школьников 9-17 лет. Курсы включают программирование, сборку роботов и участие в конкурсах. Хотите узнать больше о расписании, стоимости и условиях обучения?
Сколько стоит разовое посещение?;Разовое посещение для детей 5-9 лет стоит 5000 тг, для детей 9-17 лет — 5500 тг. Мы также предлагаем пробный урок за 2500 тг, который станет бесплатным при покупке абонемента. Хотите записаться?
Какие есть варианты абонементов?;Для детей 5-9 лет: 2 месяца (1 модуль) — 60 000 тг, 4 месяца — 112 000 тг, 6 месяцев — 162 000 тг. Для детей 9-17 лет: 3 месяца — 96 000 тг, 6 месяцев — 180 000 тг, год — 336 000 тг. Хотите, я помогу выбрать оптимальный вариант?
Можно записаться на пробный урок?;Конечно! Пробный урок стоит 2500 тг (90 минут). Если вы решите приобрести абонемент в тот же день, пробный урок будет бесплатным. Хотите, я помогу вам записаться?
Когда проходят занятия для детей 5-8 лет?;Расписание для детей 5-8 лет (курс Lego Education Wedo 2.0 и физика) занятия проходят по субботам и воскресеньям в три времени на выбор: 10:30–12:00, 14:00–15:30, 15:30–17:00. Какое время вам удобно?
Когда проходят занятия для детей 9-17 лет?;Расписание для детей 9-17 лет (курс Lego Mindstorms EV3) занятия проходят по субботам и воскресеньям: 10:00–12:00, 12:00–14:00, 14:00–16:00, 16:00–18:00. В какое время вам удобнее записаться?
Можно ли выбрать удобное время занятий?;Конечно! Мы предлагаем гибкое расписание, чтобы вы могли выбрать наиболее подходящее время. Уточните возраст вашего ребенка, и я помогу подобрать время.
Для какого возраста предназначены курсы?;У нас есть курсы для детей 5-9 лет и для подростков 9-17 лет. Скажите возраст вашего ребенка, и я подберу подходящую программу. Хотите узнать подробнее о модулях обучения?
Где проходят занятия?;Наш адрес: г. Астана, ул. Кайыма Мухамедханова, 37А, здание КазУТБ, 5 этаж, кабинет 3/519. Вы можете посмотреть карту здесь. Хотите уточнить детали или забронировать место?
Сколько длится одно занятие?;Для детей 5-9 лет одно занятие длится 90 минут, а для детей 9-17 лет — 120 минут. Мы делаем все возможное, чтобы это время было максимально увлекательным и продуктивным. Хотите узнать о расписании?
Что изучают дети на курсе Lego Education Wedo 2.0?;На курсе Lego Education Wedo 2.0 дети изучают основы робототехники через конструирование, программирование и экспериментирование. Программа разработана для детей 5-8 лет. Хотите узнать расписание или записаться на пробный урок?
Что изучают дети на курсе Lego Mindstorms EV3?;На курсе Lego Mindstorms EV3 дети 9-17 лет изучают сложное программирование, проектирование роботов и готовятся к соревнованиям. Уроки также включают проектные задачи и командную работу. Хотите выбрать время занятий?
Выдают ли сертификаты после завершения курсов?;Да, после завершения каждого модуля мы выдаем сертификат. Это отличный способ отметить достижения вашего ребенка и вдохновить его на новые успехи! Хотите узнать больше о модулях?
Как найти вас в Instagram?;Наш Instagram — techlabds_itclub. Подписывайтесь, чтобы быть в курсе последних новостей и акций!
Сгорают ли оплаченные занятия при пропусках?;Нет, оплаченные занятия не сгорают, если вы заранее предупредите нас о пропуске. Мы всегда идем навстречу нашим клиентам. Уведомите нас о переносе, и мы с радостью найдем для вас удобное время!
Какой уровень сложности у курсов?;Курсы Lego Education Wedo 2.0 подходят для начального уровня, а курсы Lego Mindstorms EV3 рассчитаны на средний и продвинутый уровень. Хотите узнать, какой курс подойдет вашему ребенку?
Можно ли заниматься онлайн?;Пока все занятия проходят только офлайн, так как наши курсы предполагают работу с физическими моделями роботов. Мы проводим занятия в комфортных классах. Хотите узнать больше о локации?
Нужно ли приобретать оборудование для занятий?;Нет, мы предоставляем все необходимое оборудование, включая наборы Lego Education и ноутбуки. Ваш ребенок будет обеспечен всем необходимым для успешного обучения. Хотите узнать о программе курсов?
Кто проводит занятия?;Наши занятия проводят опытные преподаватели с большим опытом работы в области робототехники и программирования. Они помогут вашему ребенку освоить новые навыки и достичь успехов! Хотите узнать расписание занятий?
Участвуют ли ученики в соревнованиях?;Да, наши ученики регулярно участвуют в городских, национальных и международных соревнованиях по робототехнике. Это отличная возможность для развития командных навыков и креативности! Хотите записать ребенка на пробный урок?
Есть ли скидки для семей с двумя детьми?;Да, у нас действует скидка 10% для семей, где обучаются двое и более детей. Также при покупке абонемента в день пробного урока последний будет бесплатным. Хотите воспользоваться скидкой?
Есть ли отзывы от других родителей?;Конечно! Вы можете ознакомиться с отзывами на нашем сайте или в Instagram. Также наши клиенты часто делятся впечатлениями о занятиях в социальных сетях. Хотите, я отправлю вам ссылку на наш Instagram?
Что делать, если ребенок пропустил занятие?;Если ваш ребенок пропустил занятие, не переживайте! Вы можете согласовать удобное время для отработки. Мы сделаем все, чтобы ваш ребенок не отстал от программы. Хотите, я помогу согласовать время для отработки?
Сколько учеников в группе?;Мы организуем занятия в небольших группах: 4-5 учеников для детей 5-8 лет и 3-4 ученика для детей 9-17 лет. Это позволяет уделять внимание каждому ребенку. Хотите записаться на пробный урок?
Можно ли обучаться индивидуально?;Да, у нас есть индивидуальные уроки, стоимость которых составляет 6000 тг для детей 5-9 лет и 7000 тг для детей 9-17 лет за занятие. Хотите записаться?
Есть ли домашние задания?;Да, для закрепления материала ученики получают задания, которые можно выполнять дома через наш образовательный портал. Хотите узнать больше о платформе?
Есть ли итоговый проект после завершения курса?;Да, после каждого модуля ученики выполняют итоговый проект, который демонстрируют родителям и одноклассникам. Это помогает закрепить полученные знания. Хотите узнать больше о программе?
Какие преимущества есть у ваших курсов?;Наши курсы включают: индивидуальный подход, обучение с использованием современных технологий, сертифицированные тренеры, участие в соревнованиях и поддержку на каждом этапе обучения. Хотите узнать больше о расписании?
