context,question,answer
Подготовка к олимпиадам,Вы готовите к олимпиадам? (уточнение),"Да, у нас есть специальная программа по подготовке к олимпиадам — подготовка к олимпиадам помогает развить системное мышление и навыки решения задач. Хотите узнать о формате? Надеемся, это полезно."
Фотографии с занятий,"Можно ли посмотреть, как проходят занятия? (уточнение) Поясните, пожалуйста.","Да, мы регулярно выкладываем фотографии с занятий в Instagram и в чат с родителями. Хотите, я пришлю ссылку на свежие фотографии с занятий? Если останутся вопросы — пишите. Спасибо за ваш вопрос!"
Оборудование,"Интересует следующее: Нужно ли приобретать оборудование для занятий? Поясните, пожалуйста.","Конечно! Нет, мы предоставляем все необходимое оборудование, включая наборы Lego Education и ноутбуки. Ваш ребенок будет обеспечен всем необходимым для успешного обучения. Хотите узнать о программе курсов? Надеемся, это полезно."
Партнёрские олимпиады,Можете пояснить: С кем вы сотрудничаете по конкурсам?,"Да, конечно. Мы участвуем в партнёрских олимпиадах — совместно с университетами и IT-компаниями. Хотите узнать про ближайшие события?"
Обучение с наставником,Хотелось бы узнать: Хотелось бы узнать: Есть ли куратор у ребёнка?,"Конечно! Да, у нас реализовано обучение с наставником — за каждым ребёнком закреплён педагог, который отслеживает прогресс. Хотите связаться с куратором? Спасибо за ваш вопрос!"
Фотографии с занятий,"Можете пояснить: Можно ли посмотреть, как проходят занятия? (уточнение)","Да, конечно. Да, мы регулярно выкладываем фотографии с занятий в Instagram и в чат с родителями. Хотите, я пришлю ссылку на свежие фотографии с занятий? Если останутся вопросы — пишите."
Ознакомиться с отзывами,Интересует следующее: Есть ли отзывы от других родителей?,"Конечно! Вы можете ознакомиться с отзывами на нашем сайте или в Instagram. Также наши клиенты часто делятся впечатлениями о занятиях в социальных сетях. Хотите, я отправлю вам ссылку на наш Instagram? Надеемся, это полезно."
Визуальное программирование,"Можете пояснить: С какого языка программирования начинается обучение? Поясните, пожалуйста.","Да, конечно. Мы начинаем с визуального программирования — интерфейсы типа Scratch, EV3, которые понятны даже малышам. Хотите попробовать демо-задание? Если останутся вопросы — пишите."
Динамика в обучении,Можете пояснить: Не будет ли скучно на занятиях? (уточнение),"Конечно! Да, конечно. Нет, у нас всегда поддерживается динамика в обучении — смена активностей, челленджи, творческие задания. Хотите посмотреть расписание урока?"
Интенсивы на каникулах,Интересует следующее: А вы проводите занятия во время каникул?,"Да, у нас проходят интенсивы на каникулах — это короткие насыщенные курсы, которые идеально подходят для знакомства с робототехникой. Хотите узнать даты ближайших интенсивов? Спасибо за ваш вопрос!"
Обучение в удовольствие,"Можете пояснить: Моему ребёнку не нравится школа. Зайдёт ли ему курс? Поясните, пожалуйста. Поясните, пожалуйста.","Да, конечно. У нас обучение в удовольствие — занятия интерактивные, с играми и творческими заданиями. Это совсем не похоже на школу. Хотите прийти на пробный урок? Спасибо за ваш вопрос! Надеемся, это полезно."
Преподаватели,Можете пояснить: Интересует следующее: Кто проводит занятия?,"Да, конечно. Наши занятия проводят опытные преподаватели с большим опытом работы в области робототехники и программирования. Они помогут вашему ребенку освоить новые навыки и достичь успехов! Хотите узнать расписание занятий? Надеемся, это полезно."
Платформа для домашних заданий,Где дети выполняют домашние задания?,"У нас есть специальная платформа для домашних заданий, где размещены инструкции, видео и проверочные тесты. Хотите получить доступ?"
"Задания, которые можно выполнять дома",Можете пояснить: Можете пояснить: Есть ли домашние задания? (уточнение),"Да, конечно. Да, для закрепления материала ученики получают задания, которые можно выполнять дома через наш образовательный портал. Хотите узнать больше о платформе? Спасибо за ваш вопрос! Если останутся вопросы — пишите."
Участие родителей,Могут ли родители присутствовать на занятии? (уточнение) (уточнение),"Конечно! Да, конечно. Участие родителей возможно на итоговых демонстрациях. Мы ценим самостоятельность детей, но обязательно приглашаем родителей на важные события. Хотите узнать дату ближайшего мероприятия?"
Проекты для портфолио,"Хотелось бы узнать: Можно ли использовать проекты из курсов в портфолио? Поясните, пожалуйста.","Конечно! Да, конечно. Да, проекты для портфолио — это важный результат обучения! Ребёнок может представить свои работы на конкурсах и при поступлении в специализированные школы. Хотите узнать больше о содержании проектов?"
Для взрослых,"Есть ли занятия для взрослых? Поясните, пожалуйста.","Да, конечно. Пока мы проводим занятия только для детей. Но если вам интересны курсы по программированию или робототехнике для взрослых, мы можем рассмотреть возможность их запуска. Хотите оставить заявку?"
Безопасность на занятиях,Интересует следующее: Хотелось бы узнать: Насколько безопасны ваши занятия?,"Конечно! Безопасность на занятиях — наш приоритет. Все курсы проходят в оборудованных аудиториях, с соблюдением санитарных норм и под контролем опытных педагогов. Хотите приехать посмотреть? Спасибо за ваш вопрос!"
Адрес,Можете пояснить: Хотелось бы узнать: Хотелось бы узнать: Где проходят занятия?,"Конечно! Да, конечно. Наш адрес: г. Астана, ул. Кайыма Мухамедханова, 37А, здание КазУТБ, 5 этаж, кабинет 3/519. Вы можете посмотреть карту здесь. Хотите уточнить детали или забронировать место? Надеемся, это полезно."
Награды и дипломы,Интересует следующее: Можете пояснить: Дети получают дипломы? (уточнение),"Да, конечно. Да, конечно. Да, мы вручаем награды и дипломы за участие в курсах и конкурсах. Это отличная мотивация для учеников. Хотите посмотреть образец диплома? Надеемся, это полезно."
Смена группы,Интересует следующее: Можно ли перейти в другую группу?,"Да, конечно. Конечно! Смена группы возможна при необходимости — по возрасту, времени или уровню. Хотите, я проверю наличие мест в других группах?"
Обмен опытом между учениками,Интересует следующее: Дети взаимодействуют между собой?,"Конечно! Да, мы поощряем обмен опытом между учениками — они учатся помогать, обсуждать идеи и реализовывать проекты вместе. Хотите узнать больше о командной работе?"
Психологическая поддержка,Хотелось бы узнать: Можете пояснить: Хотелось бы узнать: Как вы работаете с застенчивыми детьми?,"Да, конечно. У нас предусмотрена психологическая поддержка — педагоги мягко помогают ребенку адаптироваться и почувствовать уверенность. Хотите поговорить с методистом? Спасибо за ваш вопрос! Надеемся, это полезно."
